StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,Age,Ethnicity,Ethnicity_6_TEXT,Gender,Gender_6_TEXT,Child_Dis,Child_Dis_Yes,MC 1,MC 2,MC 3,MC 4,MC 5,MC 6,MC 7,MC 8,MC 9,MC 10,MA 1,MA 2,MA 3,MA 4,MA 5,MA 6,MA 7,MA 8,MA 9,MA 10,MA 11,MA 12,MA 13,MA 14,MA 15,MA 16,MB 1,MB 2,MB 3,MB 4,MB 5,MB 6,MB 7 ,MB 8,Dis_Ques,SC0,SC1,SC2,sona
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_cNrk6zZIYxjUHqu,,,,,,,test,,7,57,5,,4,,1,,5,3,5,2,4,2,3,2,1,3,3,2,5,5,1,1,5,2,3,5,3,1,5,5,4,4,5,4,1,2,3,3,4,1,Lacus imperdiet curabitur purus purus laoreet wisi dictumst dolorem mattis pretium eleifend pharetra malesuada.,30,23,54,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_e2uQzBUyOkByAiW,,,,,,,test,,7,22,2,,6,"Auctor augue quam ut? Arcu fringilla eget ultricies, suspendisse. Ultrices.",1,,5,3,1,3,5,3,4,2,3,1,3,4,1,1,2,2,2,1,5,1,2,4,5,3,3,1,2,2,4,2,1,5,2,5,"Dui fermentum molestie sed elit at, ligula temporibus porta. Convallis eu. Potenti. Lectus.",30,23,40,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_2srskJG0NzszBGu,,,,,,,test,,8,54,6,"Ac nec proin bibendum sit. Per porttitor, ab consequat sed? Purus.",5,,2,Ligula mi? Integer consectetuer leo nonummy enim euismod massa fringilla eleifend etiam nonummy iaculis vulputate.,3,2,2,1,1,3,3,1,4,5,2,2,4,1,5,3,5,2,2,4,3,1,2,3,2,5,3,3,5,5,2,2,5,1,Donec pretium venenatis nullam dictumst ipsum? Luctus elit magnis ultrices. Platea imperdiet morbi.,25,26,46,
5/4/2024 11:14,5/4/2024 11:14,2,,100,1,1,5/4/2024 11:14,R_6J4KbCKUxfHJwWO,,,,,,,test,,8,78,5,,3,,1,,1,1,2,4,3,1,3,2,3,3,4,1,2,5,2,3,3,2,5,1,2,2,5,5,2,3,3,4,3,1,1,4,5,4,Fringilla vel sed eget praesent arcu nec dui accusamus in morbi euismod sit.,23,25,47,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_bHhV1XJo7FU1hoW,,,,,,,test,,8,67,1,,5,,1,,5,4,2,3,5,1,1,4,5,4,3,1,2,2,1,1,3,2,5,4,5,1,2,1,2,3,4,4,5,3,5,3,1,5,"Velit. Mattis enim! Suspendisse sagittis ridiculus atque? Sed! Proin amet malesuada, velit viverra vestibulum erat.",34,30,38,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_0q7gKZ9lUEkzt5k,,,,,,,test,,8,100,5,,4,,1,,4,1,3,1,1,5,2,5,3,3,4,3,3,2,3,5,2,2,4,1,5,2,2,1,1,4,2,2,5,4,2,5,1,3,Bibendum sodales maecenas bibendum egestas tempus mattis elementum nibh. Sem justo massa culpa? Suspendisse primis.,28,24,44,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_cMZUEKCOrvzuKTY,,,,,,,test,,7,66,2,,1,,2,Magnis consequat! Urna curabitur. Potenti aliquam vivamus suscipit facilisi phasellus tempor.,2,1,2,1,2,5,4,4,2,4,4,3,3,4,5,2,4,4,3,5,2,4,1,5,5,5,1,1,1,1,1,1,4,5,"Facilisis convallis et, suspendisse! Curabitur nulla leo atque mattis. Tempor.",27,15,59,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_1LJG77ITBu1Rxae,,,,,,,test,,8,42,2,,3,,1,,3,5,1,1,1,2,2,5,3,1,5,2,5,4,1,3,5,4,2,3,1,3,1,1,4,2,3,1,2,4,4,2,1,4,"Lorem. Blandit. Fermentum orci, wisi egestas! Faucibus nullam interdum, malesuada.",24,21,46,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_5cYaqTNLmfbDL8y,,,,,,,test,,7,60,2,,4,,2,"Ligula vel urna natoque, bibendum? Dictumst. Tempor cursus ante quam nec.",5,5,2,3,3,4,5,1,2,5,1,5,4,3,3,1,4,3,2,1,3,1,4,1,1,3,5,5,4,3,2,5,4,5,Ultricies urna. Suscipit faucibus. Ridiculus temporibus nullam! Etiam enim sollicitudin augue suspendisse. Turpis enim ac.,35,33,40,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_ekW69lUL1N1SHQy,,,,,,,test,,7,77,5,,4,,2,"Non tempora fermentum proin elit! Proin curabitur at ligula tempus montes! Pede egestas placerat, felis.",3,4,5,1,5,5,4,3,4,3,4,2,2,3,5,2,4,2,3,1,2,5,3,1,2,4,1,2,2,2,4,3,3,2,Dolorem elit sagittis etiam gravida turpis porttitor pellentesque donec aenean.,37,19,45,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_6hPRoegAgKAEhIW,,,,,,,test,,8,70,3,,1,,1,,4,4,2,3,5,3,5,2,3,5,4,4,4,1,3,3,4,5,1,1,2,2,1,4,3,1,2,2,5,1,4,4,2,1,"In tortor vivamus scelerisque felis temporibus potenti suscipit erat potenti, primis placerat bibendum, ut.",36,21,43,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_3F7vVF5GrnKcBuK,,,,,,,test,,7,92,5,,6,"Donec, amet interdum? Erat est tempus orci lacus mi odio velit sed.",1,,4,3,5,4,4,2,1,1,2,4,5,5,3,4,5,4,5,3,3,5,1,2,5,5,2,4,4,1,4,1,3,1,1,1,Fermentum? Viverra scelerisque! Suspendisse egestas fermentum augue tempora tempus justo sapien elit.,30,16,61,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_2ry3qkj0vL3baLA,,,,,,,test,,7,56,4,,2,,2,"Aliquam laoreet tempora augue elementum ante? Malesuada. Dignissim! Etiam integer, facilisis pretium porttitor.",5,3,2,1,2,1,3,2,5,4,1,5,1,3,1,1,2,1,5,1,3,3,3,5,3,5,4,4,3,3,3,5,4,4,"Egestas. Gravida ullamcorper tellus gravida pede. Sapien, lectus elementum elementum. Aliquam! Consectetuer ullamcorper orci ab.",28,30,43,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_byIfaU6wQ9hiXBA,,,,,,,test,,8,88,3,,2,,1,,5,2,5,1,5,5,1,3,2,2,4,2,1,3,5,1,2,5,1,2,4,5,1,2,3,5,4,3,5,2,4,4,4,3,Faucibus! Integer? Morbi iaculis nulla vulputate? Magnis facilisis pharetra sed velit accumsan. Malesuada.,31,29,46,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_6P4MSrJTJ1cWd2C,,,,,,,test,,7,72,4,,1,,1,,1,2,1,1,1,1,2,2,4,4,5,1,1,5,2,1,3,3,2,5,4,2,4,4,4,5,1,3,4,2,5,5,1,5,"Magna curabitur, platea euismod accumsan pharetra? Fermentum bibendum. Urna! Imperdiet! Primis sapien.",19,26,51,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_eePlTtPPAqNOJZI,,,,,,,test,,7,18,1,,3,,1,,4,2,2,1,4,4,3,2,2,5,2,1,4,1,4,5,2,4,5,5,5,4,3,3,1,3,1,3,3,5,5,5,5,1,Euismod! Nonummy! Suspendisse nec euismod malesuada augue accusamus aenean pretium venenatis nibh.,29,28,52,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_3pHNO3Kcyg9Ls9M,,,,,,,test,,7,87,3,,3,,2,Ab. Pretium ridiculus quam. Luctus! Erat potenti ultricies? Wisi luctus laoreet. Pellentesque.,5,4,4,5,1,2,4,3,1,1,3,5,2,1,4,2,2,5,3,1,5,1,2,5,3,3,5,2,4,2,2,5,3,5,Maecenas donec placerat tincidunt justo velit eros porta interdum! Lacus. Natoque a nec.,30,28,47,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_bQ7gwhpJESvQ8Ki,,,,,,,test,,8,69,4,,4,,1,,3,2,5,3,5,5,4,5,1,2,2,5,3,2,5,1,2,4,2,5,4,3,3,5,3,3,5,1,3,2,1,4,1,2,"Lectus quis augue etiam morbi. Nonummy ante augue gravida magnis, tempor.",35,19,52,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_dmSAdFK0Rqu18ii,,,,,,,test,,8,91,6,Primis. Faucibus laoreet fusce. Vivamus atque natoque ac lectus scelerisque aliquam tortor scelerisque orci arcu.,1,,1,,5,3,4,3,5,2,4,2,2,2,4,2,4,4,1,1,4,1,1,1,3,5,4,3,1,2,3,5,2,1,4,4,4,4,"Diam lorem turpis ab, ipsum dolorem facilisi turpis mattis massa.",32,27,41,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_9ogxi2bVkeSBUeG,,,,,,,test,,7,66,5,,2,,1,,5,3,4,2,5,5,1,1,1,3,2,1,3,3,5,2,1,5,2,3,5,2,5,1,2,5,2,3,4,5,4,3,1,2,"Wisi sollicitudin phasellus atque, fusce vestibulum? Elit ab rutrum purus felis dui.",30,24,47,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_1X09GhS82ZMe9bE,,,,,,,test,,7,79,5,,4,,1,,1,1,4,5,5,4,3,5,1,5,4,2,4,3,3,2,5,3,4,1,4,1,5,5,1,4,3,2,2,4,1,3,4,1,Duis mattis malesuada fusce posuere velit velit enim sit ab elementum elit.,34,20,51,
5/4/2024 11:14,5/4/2024 11:14,2,,100,1,1,5/4/2024 11:14,R_cAtpZKXbyLYHNNY,,,,,,,test,,8,42,1,,5,,2,Sapien molestie. Nonummy posuere pharetra ut! Nibh tincidunt malesuada viverra. Sagittis risus orci nec integer.,2,4,2,4,3,4,4,2,1,3,3,2,4,3,5,4,1,1,3,5,2,3,4,3,2,4,5,4,3,4,3,1,4,2,A posuere temporibus montes pharetra! Viverra turpis curabitur magna enim.,29,26,49,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_blpZe2l0CA5SVRc,,,,,,,test,,8,82,6,Convallis imperdiet wisi. Non tempora ullamcorper accumsan! Fringilla quam molestie justo malesuada.,2,,1,,1,3,4,3,5,1,4,1,2,3,1,2,4,1,4,3,2,3,5,5,1,1,4,4,1,4,4,1,3,2,5,3,2,4,"Sollicitudin fringilla, ultricies aenean pretium faucibus accumsan facilisi. Aliquet luctus.",27,24,45,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_23uuihfCTSXDNd4,,,,,,,test,,7,62,3,,6,Per phasellus turpis! Elementum morbi volutpat integer erat consectetuer. Accumsan tortor luctus urna? Felis.,1,,2,4,2,1,1,4,1,3,1,5,4,5,5,5,1,2,1,3,3,5,5,3,2,4,2,5,5,5,5,5,4,1,5,5,"Eu ante aliquam porta natoque praesent dictumst, dapibus donec dignissim, amet non? Vestibulum.",24,35,55,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_79DHGPuYvO5CLkO,,,,,,,test,,7,53,4,,5,,2,Cras elit ut sem non justo dapibus montes erat. Turpis in.,4,5,5,2,2,1,4,4,1,4,3,5,2,4,5,3,3,3,3,1,3,2,2,2,3,4,4,5,5,4,3,5,2,1,Magnis consectetuer blandit. Ultricies in justo donec maecenas vel vitae orci! Justo justo iaculis.,32,29,48,
5/4/2024 11:14,5/4/2024 11:14,2,,100,1,1,5/4/2024 11:14,R_50BD1unbInEbHkq,,,,,,,test,,8,96,4,,6,"Magna at! Potenti, lectus? Vulputate tortor augue proin neque. Erat facilisi. Tempus. Wisi nec.",2,"Placerat, at. Auctor facilisi pharetra ligula pretium. Nec scelerisque aliquam magna phasellus. Erat porta volutpat.",2,5,1,4,4,2,3,2,4,3,5,2,4,4,4,3,3,2,2,4,5,5,3,3,3,1,1,4,3,4,4,5,1,3,"Viverra nulla? Fusce dolorem! Mauris consequat, nulla risus imperdiet. Venenatis eu convallis quam lacus primis.",30,25,53,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_3TSlj7MTNpA9Cho,,,,,,,test,,8,65,2,,5,,1,,1,2,3,5,3,4,2,3,3,2,3,4,3,5,5,3,2,4,5,5,4,1,2,3,2,3,3,2,2,2,3,4,1,3,"Metus, lorem quam dui, fringilla risus accumsan justo a massa ligula sapien, ullamcorper imperdiet.",28,20,54,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_9vOBHCb1Iw5RmES,,,,,,,test,,8,49,4,,4,,2,Placerat facilisi curabitur vel. Donec. Purus. Metus potenti rhoncus interdum.,1,1,2,1,4,5,5,1,2,3,2,5,3,4,2,5,1,5,1,1,1,2,2,1,3,1,5,1,3,3,4,4,5,4,Ligula eu fringilla malesuada ultricies eros magna facilisi? Malesuada vitae! Dictumst ultricies imperdiet dapibus.,25,29,39,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_06grzaiRfUdy9Gm,,,,,,,test,,7,92,1,,2,,2,"Accumsan, accumsan ac suscipit pede. Sit lacus bibendum? Ultricies bibendum.",1,1,3,1,1,1,1,5,1,3,3,3,1,5,3,2,1,2,3,2,5,2,1,1,5,1,5,1,2,1,5,2,1,1,Sollicitudin justo tempus phasellus. Commodo eros ultricies risus id vestibulum euismod mattis.,18,18,40,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_ePCMOjDuwZGAnWu,,,,,,,test,,8,25,6,Et porttitor in quam tempor nulla porttitor eget turpis ante euismod rhoncus.,6,Non et turpis velit nibh sit tellus ab. Accusamus dolor vitae fringilla! Iaculis convallis per.,2,Porttitor nulla tincidunt. Vulputate vehicula porttitor laoreet bibendum porta morbi sit curabitur.,3,5,5,3,1,2,1,3,4,3,3,2,1,4,3,2,4,2,1,4,3,3,2,3,1,4,3,3,3,2,5,3,5,3,"Phasellus ultrices, montes lectus. Suspendisse ultricies phasellus phasellus urna a? Eros neque.",30,27,42,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_5urDXrCyURUWjxc,,,,,,,test,,7,89,4,,1,,1,,2,4,2,1,2,4,5,3,2,3,3,1,3,2,4,2,3,5,5,2,1,1,2,4,3,3,4,2,3,4,4,2,2,2,"Blandit quam sit placerat euismod malesuada? Magna. Dolorem sit donec turpis, accusamus sapien.",28,23,44,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_eDrAuuiiagQw7au,,,,,,,test,,7,56,5,,3,,2,"Amet, vestibulum. Bibendum. Purus ligula culpa temporibus culpa. Pede dolorem, euismod. Tortor.",1,4,2,5,3,2,1,2,3,4,2,4,1,5,2,4,2,4,1,2,1,1,1,4,4,2,3,5,3,4,1,1,3,4,Bibendum lectus et. In per atque convallis posuere risus potenti at convallis.,27,24,40,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_6MBWVTIQ06Bx930,,,,,,,test,,8,49,5,,5,,1,,2,4,3,4,4,5,2,1,2,2,4,2,5,4,1,1,3,3,2,5,3,4,5,4,1,1,2,5,5,1,4,4,2,1,"Aliquam curabitur! Odio. Laoreet dignissim tellus vel facilisis vestibulum mi magnis in, convallis.",29,24,48,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_dgtKGpMXq9x2HMW,,,,,,,test,,8,65,5,,4,,2,"Vehicula. Euismod morbi sodales elit vehicula risus, rhoncus sapien eu.",3,4,3,3,1,3,4,5,5,1,5,2,5,1,2,4,4,5,5,4,2,3,3,4,2,3,1,1,2,2,4,5,1,4,"Vivamus, gravida suspendisse! Accumsan sagittis erat massa eros massa elit.",32,20,54,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_0jpJQVA1g5Do7vU,,,,,,,test,,7,81,3,,4,,1,,3,4,2,3,4,3,4,3,4,1,2,2,1,2,4,4,1,4,5,5,3,4,5,3,1,1,4,1,2,2,5,5,5,2,Id ridiculus dui venenatis vitae. Praesent elit mi ipsum sodales felis eleifend.,31,26,47,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_3WbFHamjkfCZg0e,,,,,,,test,,8,23,2,,4,,1,,3,2,5,4,2,5,2,4,5,5,2,1,3,4,3,5,1,2,3,1,4,4,1,2,1,2,1,4,2,2,4,3,1,2,"Primis suscipit. Odio vel sodales odio est proin dolor lectus cras ab? Porttitor, nonummy! Risus.",37,19,39,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_2rVnz7wT4tgpB30,,,,,,,test,,8,56,1,,1,,2,"Dolorem quam fusce, non consequat. Placerat ab purus nunc eu.",3,1,4,3,5,4,5,5,3,2,5,1,5,2,1,2,3,1,1,2,4,1,4,2,4,5,5,1,1,4,3,2,5,1,"Malesuada montes metus aliquam natoque arcu a! Placerat velit, rhoncus rhoncus.",35,22,43,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_e2kT8i3n5CsWhpA,,,,,,,test,,7,89,2,,1,,2,"Egestas elit ridiculus facilisi quis rutrum amet elementum dui, nec proin volutpat sed neque rutrum.",4,2,3,5,2,4,1,5,2,2,1,3,3,3,3,1,1,2,2,3,5,1,1,2,2,4,2,2,3,2,4,2,3,3,"Sollicitudin posuere, dapibus facilisi interdum rutrum massa. Massa praesent lectus. Lorem enim lacus.",30,21,37,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_5pfAhiiJBO8r40K,,,,,,,test,,7,43,2,,6,"Vel diam pellentesque, vitae potenti scelerisque et faucibus tempor fringilla.",2,Vestibulum. Dignissim pede leo ullamcorper facilisi! Massa urna quis? Proin? Lorem odio.,4,4,4,5,5,1,1,1,1,3,2,5,3,5,4,3,5,4,4,4,4,5,3,2,4,2,3,2,2,3,5,3,3,1,Nibh integer. Luctus bibendum mauris mattis morbi convallis curabitur felis.,29,22,59,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_eRt8IcyHHJL7H1A,,,,,,,test,,8,67,5,,6,"Iaculis accumsan accumsan, curabitur vestibulum erat placerat aliquam sagittis justo sem placerat, nonummy duis.",1,,1,5,4,2,2,3,2,5,2,2,3,3,3,3,1,3,3,1,5,3,3,4,1,5,3,1,5,2,1,3,2,3,3,3,"Auctor est velit pede amet sodales ultricies, volutpat phasellus erat.",28,22,45,
5/4/2024 11:14,5/4/2024 11:14,2,,100,0,1,5/4/2024 11:14,R_2adk3PGr7qtzhCS,,,,,,,test,,8,77,4,,2,,2,Suspendisse! Nonummy! Molestie placerat tempora natoque pellentesque! Elit ridiculus blandit.,1,4,3,3,4,2,2,5,1,4,5,3,2,2,2,2,2,5,4,4,3,5,5,4,2,2,2,5,4,4,1,5,2,1,Elementum in urna augue montes suspendisse sollicitudin elit risus ac posuere in cursus. Vitae.,29,24,52,
